,background,body,eyes,head_gear,clothes,held_item,hands,wristband
0,blue,maroon_test,standard,std_lord,blue_dot,nut,standard,none
1,blue,maroon_test,standard,std_lord,none,nut,standard_test,none
2,white,maroon_test,standard,none,blue_dot,nut,standard,none
3,blue,maroon_test,standard,none,none,nut,standard,none
4,white,maroon,standard_(1)_test,none,blue_dot,nut,standard,yellow
5,white,maroon_test,standard,std_lord,blue_dot,nut,standard_test,yellow
6,blue,maroon,standard_(1)_test,std_lord,none,nut,standard,none
7,blue,maroon_test,standard_(1)_test,none,blue_dot,nut,standard,yellow
8,white,maroon,standard_(1)_test,none,blue_dot,nut,standard,none
9,blue,maroon_test,standard_(1)_test,none,none,nut,standard_test,none
10,blue,maroon,standard_(1)_test,std_lord,none,nut,standard_test,yellow
11,blue,maroon,standard_(1)_test,std_lord,blue_dot,nut,standard_test,none
12,blue,maroon,standard_(1)_test,std_lord,blue_dot,nut,standard_test,yellow
13,white,maroon_test,standard,std_lord,blue_dot,nut,standard,yellow
14,blue,maroon_test,standard_(1)_test,std_lord,blue_dot,nut,standard_test,yellow
15,blue,maroon,standard,none,blue_dot,nut,standard,none
16,white,maroon_test,standard_(1)_test,none,blue_dot,nut,standard_test,none
17,white,maroon,standard,none,none,nut,standard,yellow
18,white,maroon,standard_(1)_test,std_lord,blue_dot,nut,standard,yellow
19,blue,maroon,standard,std_lord,blue_dot,nut,standard,yellow
20,white,maroon_test,standard_(1)_test,none,none,nut,standard_test,yellow
21,white,maroon_test,standard_(1)_test,std_lord,blue_dot,nut,standard,none
22,blue,maroon_test,standard,std_lord,blue_dot,nut,standard,yellow
23,blue,maroon_test,standard,std_lord,none,nut,standard,yellow
24,blue,maroon,standard,none,blue_dot,nut,standard,yellow
25,blue,maroon_test,standard_(1)_test,std_lord,none,nut,standard_test,none
26,white,maroon,standard_(1)_test,std_lord,none,nut,standard,none
27,blue,maroon,standard_(1)_test,std_lord,none,nut,standard_test,none
28,white,maroon_test,standard_(1)_test,none,none,nut,standard_test,none
29,white,maroon_test,standard,none,blue_dot,nut,standard,yellow
30,white,maroon,standard,none,blue_dot,nut,standard_test,none
31,white,maroon,standard,none,none,nut,standard_test,yellow
32,blue,maroon_test,standard_(1)_test,none,blue_dot,nut,standard,none
33,blue,maroon_test,standard,std_lord,none,nut,standard_test,yellow
34,white,maroon_test,standard,none,blue_dot,nut,standard_test,none
35,white,maroon,standard,std_lord,blue_dot,nut,standard_test,none
36,blue,maroon,standard,std_lord,blue_dot,nut,standard_test,yellow
37,blue,maroon_test,standard_(1)_test,std_lord,blue_dot,nut,standard,yellow
38,blue,maroon,standard_(1)_test,none,blue_dot,nut,standard,none
39,blue,maroon_test,standard,std_lord,blue_dot,nut,standard_test,yellow
40,blue,maroon_test,standard,none,none,nut,standard_test,none
41,white,maroon,standard,std_lord,none,nut,standard_test,yellow
42,blue,maroon_test,standard_(1)_test,none,none,nut,standard,none
43,white,maroon,standard_(1)_test,none,none,nut,standard,none
44,white,maroon_test,standard_(1)_test,std_lord,none,nut,standard,none
45,white,maroon_test,standard_(1)_test,none,blue_dot,nut,standard_test,yellow
46,white,maroon,standard_(1)_test,std_lord,none,nut,standard,yellow
47,white,maroon_test,standard,none,none,nut,standard,none
48,white,maroon_test,standard,std_lord,blue_dot,nut,standard,none
49,blue,maroon,standard,none,blue_dot,nut,standard_test,none
50,white,maroon_test,standard_(1)_test,none,blue_dot,nut,standard,none
51,blue,maroon,standard_(1)_test,none,none,nut,standard,yellow
52,blue,maroon,standard,std_lord,blue_dot,nut,standard_test,none
53,blue,maroon,standard,std_lord,none,nut,standard_test,yellow
54,blue,maroon,standard,std_lord,none,nut,standard,none
55,blue,maroon_test,standard_(1)_test,none,blue_dot,nut,standard_test,none
56,blue,maroon_test,standard_(1)_test,none,none,nut,standard_test,yellow
57,white,maroon_test,standard,std_lord,none,nut,standard,none
58,blue,maroon_test,standard_(1)_test,std_lord,blue_dot,nut,standard,none
59,white,maroon,standard_(1)_test,std_lord,blue_dot,nut,standard,none
60,blue,maroon_test,standard,none,none,nut,standard_test,yellow
61,white,maroon_test,standard_(1)_test,std_lord,none,nut,standard_test,none
62,white,maroon_test,standard_(1)_test,none,blue_dot,nut,standard,yellow
63,white,maroon_test,standard,none,none,nut,standard_test,none
64,white,maroon,standard_(1)_test,none,none,nut,standard_test,none
65,white,maroon_test,standard_(1)_test,none,none,nut,standard,yellow
66,blue,maroon_test,standard_(1)_test,none,blue_dot,nut,standard_test,yellow
67,white,maroon,standard_(1)_test,std_lord,none,nut,standard_test,none
68,blue,maroon,standard_(1)_test,none,blue_dot,nut,standard,yellow
69,blue,maroon_test,standard,none,blue_dot,nut,standard,none
70,white,maroon_test,standard_(1)_test,none,none,nut,standard,none
71,white,maroon,standard,std_lord,blue_dot,nut,standard_test,yellow
72,white,maroon,standard_(1)_test,std_lord,none,nut,standard_test,yellow
73,blue,maroon,standard,std_lord,none,nut,standard,yellow
74,blue,maroon,standard_(1)_test,std_lord,blue_dot,nut,standard,none
75,blue,maroon_test,standard,none,none,nut,standard,yellow
76,white,maroon_test,standard,std_lord,none,nut,standard_test,yellow
77,white,maroon,standard,std_lord,none,nut,standard_test,none
78,blue,maroon,standard,std_lord,none,nut,standard_test,none
79,blue,maroon_test,standard_(1)_test,std_lord,none,nut,standard,none
