,background,body,eyes,head_gear,clothes,held_item,hands,wristband
0,blue,maroon_test,standard_(1)_test,std_lord(1),Gear(1),nut(1),standard_test,Bling(1)
1,white,maroon,standard_(1)_test,std_lord(1),Gear(1),nut,standard_test,Bling
2,blue,maroon_test,standard,none,Gear(1),nut(1),standard_test,Bling
3,white,maroon_test,standard,std_lord(1),Gear,nut,standard,Bling
4,white,maroon,standard,std_lord(1),Gear(1),nut(1),standard,none
5,white,maroon,standard_(1)_test,std_lord,Gear(1),nut,standard,Bling
6,white,maroon,standard_(1)_test,std_lord(1),Gear,nut(1),standard_test,Bling(1)
7,white,maroon_test,standard,none,Gear,nut,standard_test,none
8,white,maroon_test,standard_(1)_test,std_lord,Gear(1),nut,standard,Bling(1)
9,white,maroon_test,standard,std_lord(1),Gear(1),nut(1),standard_test,Bling
10,white,maroon_test,standard,none,Gear,nut,standard,none
11,blue,maroon_test,standard,std_lord(1),Gear,nut(1),standard_test,Bling(1)
12,white,maroon_test,standard_(1)_test,std_lord(1),none,nut,standard,Bling(1)
13,blue,maroon_test,standard_(1)_test,none,none,nut(1),standard,Bling(1)
14,white,maroon,standard_(1)_test,none,none,nut(1),standard_test,Bling
15,blue,maroon_test,standard_(1)_test,std_lord,Gear,nut,standard,Bling
16,white,maroon,standard_(1)_test,std_lord(1),Gear(1),nut(1),standard_test,Bling(1)
17,white,maroon_test,standard,std_lord,Gear(1),nut,standard,none
18,white,maroon_test,standard_(1)_test,std_lord,none,nut(1),standard,none
19,blue,maroon_test,standard_(1)_test,std_lord(1),Gear(1),nut,standard,Bling
20,blue,maroon_test,standard_(1)_test,none,Gear(1),nut,standard_test,Bling(1)
21,white,maroon_test,standard_(1)_test,std_lord(1),Gear,nut,standard_test,none
22,blue,maroon_test,standard_(1)_test,std_lord,Gear,nut(1),standard_test,none
23,blue,maroon_test,standard,none,Gear(1),nut,standard_test,none
24,blue,maroon_test,standard_(1)_test,std_lord,none,nut,standard_test,Bling(1)
25,white,maroon_test,standard,std_lord(1),none,nut(1),standard_test,Bling(1)
26,blue,maroon,standard,none,Gear(1),nut,standard_test,Bling
27,white,maroon,standard,none,Gear(1),nut(1),standard_test,Bling
28,white,maroon,standard,none,Gear(1),nut(1),standard_test,Bling(1)
29,white,maroon,standard_(1)_test,std_lord(1),Gear,nut(1),standard,Bling
30,white,maroon,standard_(1)_test,std_lord,none,nut(1),standard,none
31,white,maroon,standard_(1)_test,std_lord,Gear,nut(1),standard_test,Bling
32,blue,maroon_test,standard,std_lord,Gear,nut,standard_test,Bling(1)
33,blue,maroon_test,standard,std_lord(1),Gear(1),nut,standard,Bling(1)
34,blue,maroon_test,standard,std_lord,none,nut(1),standard_test,Bling
35,white,maroon,standard_(1)_test,none,Gear,nut(1),standard_test,Bling(1)
36,white,maroon_test,standard_(1)_test,none,Gear,nut(1),standard,Bling(1)
37,white,maroon,standard_(1)_test,none,Gear(1),nut(1),standard,Bling(1)
38,white,maroon,standard_(1)_test,none,none,nut,standard,Bling(1)
39,blue,maroon,standard_(1)_test,std_lord(1),Gear(1),nut,standard_test,Bling
40,white,maroon,standard,std_lord,Gear,nut,standard,none
41,blue,maroon_test,standard_(1)_test,none,Gear(1),nut(1),standard_test,none
42,blue,maroon,standard,std_lord,none,nut,standard_test,none
43,white,maroon,standard_(1)_test,std_lord,Gear,nut,standard,none
44,white,maroon,standard,none,Gear(1),nut(1),standard,Bling(1)
45,blue,maroon,standard_(1)_test,std_lord,Gear(1),nut,standard,Bling
46,white,maroon_test,standard_(1)_test,std_lord,none,nut,standard,Bling
47,white,maroon,standard,std_lord(1),Gear(1),nut,standard,Bling(1)
48,white,maroon,standard,none,Gear,nut(1),standard_test,Bling(1)
49,blue,maroon,standard_(1)_test,std_lord(1),Gear,nut,standard_test,Bling(1)
50,white,maroon_test,standard_(1)_test,none,none,nut(1),standard_test,none
51,blue,maroon,standard_(1)_test,std_lord,Gear(1),nut(1),standard_test,Bling
52,blue,maroon,standard,std_lord,none,nut(1),standard,none
53,white,maroon,standard,std_lord(1),Gear(1),nut,standard_test,Bling
54,white,maroon,standard_(1)_test,std_lord,Gear,nut,standard_test,Bling
55,blue,maroon,standard_(1)_test,std_lord,Gear,nut,standard,Bling(1)
56,white,maroon,standard,std_lord(1),Gear(1),nut(1),standard_test,Bling(1)
57,white,maroon_test,standard_(1)_test,none,Gear,nut,standard,Bling
58,white,maroon_test,standard,none,none,nut(1),standard,Bling
59,white,maroon,standard_(1)_test,std_lord(1),Gear,nut,standard,Bling
60,blue,maroon_test,standard,std_lord,Gear,nut,standard,Bling
61,white,maroon,standard_(1)_test,std_lord(1),Gear(1),nut(1),standard_test,none
62,white,maroon,standard,std_lord,Gear(1),nut(1),standard,Bling(1)
63,blue,maroon,standard,none,Gear,nut(1),standard,Bling
64,blue,maroon_test,standard,std_lord,Gear,nut(1),standard_test,Bling(1)
65,blue,maroon,standard_(1)_test,none,Gear(1),nut(1),standard_test,Bling
66,white,maroon,standard_(1)_test,none,Gear(1),nut,standard_test,Bling(1)
67,white,maroon_test,standard,std_lord(1),none,nut,standard_test,Bling(1)
68,white,maroon_test,standard_(1)_test,std_lord,Gear,nut,standard_test,Bling
69,white,maroon,standard_(1)_test,none,none,nut,standard_test,none
70,blue,maroon_test,standard,none,Gear(1),nut,standard,Bling
71,blue,maroon,standard_(1)_test,none,none,nut(1),standard_test,Bling
72,white,maroon,standard_(1)_test,std_lord(1),none,nut(1),standard,Bling
73,white,maroon,standard_(1)_test,std_lord(1),none,nut(1),standard,Bling(1)
74,blue,maroon,standard,none,none,nut(1),standard_test,none
75,white,maroon_test,standard_(1)_test,std_lord,none,nut(1),standard,Bling(1)
76,blue,maroon,standard_(1)_test,std_lord(1),Gear(1),nut(1),standard,Bling(1)
77,white,maroon_test,standard,std_lord,Gear,nut(1),standard,none
78,blue,maroon,standard_(1)_test,std_lord,none,nut(1),standard_test,none
79,blue,maroon,standard,std_lord,none,nut,standard,Bling
80,blue,maroon,standard,std_lord(1),Gear(1),nut(1),standard_test,Bling(1)
81,white,maroon_test,standard,std_lord(1),Gear,nut(1),standard,none
82,white,maroon_test,standard,none,Gear,nut(1),standard_test,Bling
83,white,maroon_test,standard,std_lord,none,nut(1),standard,none
84,blue,maroon_test,standard,none,Gear,nut,standard_test,none
85,blue,maroon,standard,std_lord,none,nut,standard_test,Bling
86,blue,maroon_test,standard_(1)_test,none,Gear(1),nut(1),standard,Bling(1)
87,blue,maroon,standard_(1)_test,std_lord,Gear,nut(1),standard,none
88,blue,maroon,standard_(1)_test,std_lord(1),none,nut(1),standard,none
89,white,maroon_test,standard_(1)_test,std_lord,Gear(1),nut(1),standard_test,Bling
90,blue,maroon,standard,std_lord(1),Gear,nut(1),standard,Bling(1)
91,white,maroon_test,standard_(1)_test,std_lord,Gear,nut(1),standard_test,Bling
